Employee ID,Age,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRotation,FeedbackFromManager,Mentoring,Autonomy,JobRole,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,Tools,TotalWorkingYears,Training,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Performance
3105,56.0,Research and Development,14,3.0,4.0,Male,3,4,2,H,Y,H,Manufacturing Director,13402.0,3.0,Yes,12.0,1.0,H,33.0,N,3.0,19.0,16.0,15.0,9.0,33
3203,27.0,Research and Development,19,4.0,1.0,Male,2,1,2,H,N,H,Research and Design Specialists,2045.0,6.0,No,13.0,4.0,L,5.0,Y,3.0,4.0,2.0,1.0,1.0,60
3316,34.0,Research and Development,24,1.0,2.0,Male,3,1,1,L,Y,L,Research and Design Specialists,2960.0,2.0,No,11.0,3.0,L,8.0,N,3.0,4.0,2.0,1.0,3.0,31
3339,34.0,Research and Development,20,2.0,2.0,Male,2,1,4,H,N,H,Research and Design Specialists,3622.0,2.0,Yes,13.0,4.0,H,6.0,Y,3.0,6.0,5.0,1.0,3.0,63
3435,36.0,Finance,5,4.0,1.0,Male,3,3,1,L,Y,H,Accountant,8424.0,7.0,No,18.0,2.0,L,5.0,N,1.0,4.0,2.0,1.0,6.0,73
3455,44.0,Human Resources,15,4.0,1.0,Female,2,2,1,H,N,H,Human Resources,5985.0,7.0,No,11.0,2.0,L,10.0,Y,4.0,2.0,2.0,0.0,2.0,56
3485,47.0,Finance,2,3.0,2.0,Female,3,3,2,H,Y,H,Accountant,9641.0,9.0,No,17.0,2.0,H,5.0,Y,1.0,2.0,3.0,3.0,2.0,71
3530,53.0,Research and Development,21,4.0,2.0,Male,4,3,1,L,Y,H,Customercare Representative,7005.0,4.0,No,15.0,3.0,L,11.0,N,3.0,4.0,3.0,1.0,2.0,29
3570,41.0,Research and Development,24,1.0,2.0,Female,1,5,1,H,N,H,Research Director,19973.0,3.0,No,22.0,2.0,L,21.0,N,3.0,21.0,16.0,5.0,10.0,47
3635,50.0,Sales,20,4.0,4.0,Female,3,5,2,L,N,H,Manager,19517.0,3.0,No,11.0,3.0,L,32.0,N,2.0,7.0,0.0,0.0,6.0,45
3718,40.0,Research and Development,5,4.0,4.0,Male,3,1,2,L,Y,H,Research and Design Specialists,3617.0,8.0,Yes,14.0,4.0,L,3.0,Y,3.0,1.0,1.0,0.0,0.0,61
3720,23.0,Research and Development,12,3.0,4.0,Male,4,1,3,L,N,H,Research and Design Specialists,2073.0,8.0,No,16.0,4.0,H,4.0,Y,3.0,2.0,2.0,2.0,2.0,76
3864,28.0,Human Resources,4,2.0,2.0,Male,2,1,3,L,Y,H,Human Resources,4936.0,7.0,No,13.0,4.0,H,6.0,Y,3.0,5.0,1.0,0.0,4.0,76
3886,27.0,Production,19,1.0,2.0,Male,3,1,4,H,N,H,Machinists,2099.0,8.0,No,14.0,2.0,H,6.0,Y,4.0,5.0,0.0,1.0,4.0,65
3901,27.0,Sales,1,3.0,4.0,Male,3,3,2,L,Y,H,Sales Executive,8726.0,1.0,No,15.0,4.0,L,9.0,N,3.0,9.0,8.0,1.0,7.0,45
3964,35.0,Sales,9,5.0,2.0,Male,3,3,2,H,N,H,Sales Executive,9069.0,1.0,No,22.0,4.0,L,9.0,Y,2.0,9.0,8.0,1.0,8.0,58
3987,29.0,Human Resources,2,3.0,1.0,Male,2,1,2,L,N,L,Human Resources,2335.0,1.0,Yes,15.0,4.0,L,4.0,N,3.0,2.0,2.0,2.0,0.0,24
3990,46.0,Research and Development,17,4.0,4.0,Female,2,2,2,H,N,L,Research and Design Specialists,4615.0,5.0,Yes,23.0,1.0,L,19.0,N,3.0,16.0,13.0,1.0,7.0,44
3994,41.0,Research and Development,11,3.0,4.0,Male,2,2,2,L,N,H,Manufacturing Director,6032.0,6.0,Yes,15.0,4.0,L,8.0,N,3.0,5.0,4.0,1.0,2.0,44
4019,36.0,Research and Development,12,2.0,2.0,Male,3,2,2,H,N,H,Manufacturing Director,4941.0,6.0,No,20.0,4.0,H,7.0,Y,3.0,3.0,2.0,0.0,1.0,70
4208,31.0,Sales,9,3.0,3.0,Male,4,1,2,L,N,L,Sales Representative,2791.0,1.0,No,12.0,1.0,L,3.0,N,3.0,2.0,2.0,2.0,2.0,49
4313,50.0,Sales,14,3.0,3.0,Male,3,5,3,L,N,H,Manager,19331.0,5.0,Yes,16.0,3.0,H,27.0,Y,3.0,1.0,0.0,0.0,0.0,71
4417,46.0,Research and Development,22,3.0,3.0,Male,2,3,2,H,N,H,Customercare Representative,10673.0,2.0,Yes,13.0,3.0,L,21.0,Y,2.0,10.0,9.0,9.0,5.0,60
4508,51.0,Finance,16,4.0,2.0,Male,2,2,2,L,Y,H,Accountant,9223.0,2.0,Yes,17.0,3.0,L,7.0,N,1.0,4.0,6.0,1.0,5.0,79
4529,24.0,Production,8,3.0,4.0,Male,3,1,1,L,N,L,Machinists,3597.0,7.0,No,22.0,4.0,L,6.0,N,3.0,4.0,3.0,1.0,2.0,47
4559,49.0,Production,6,3.0,4.0,Female,3,1,2,L,N,L,Machinists,2587.0,9.0,Yes,16.0,2.0,L,17.0,N,2.0,2.0,2.0,2.0,2.0,46
4701,27.0,Production,11,3.0,4.0,Male,2,1,2,L,N,L,Machinists,4066.0,7.0,No,11.0,1.0,L,7.0,N,3.0,7.0,7.0,0.0,7.0,44
4730,34.0,Sales,17,1.0,4.0,Female,2,2,1,L,Y,H,Sales Executive,8103.0,5.0,Yes,12.0,3.0,L,9.0,Y,2.0,4.0,2.0,0.0,1.0,56
4762,24.0,Research and Development,18,2.0,2.0,Male,2,2,3,L,Y,H,Customercare Representative,4617.0,8.0,No,12.0,2.0,L,4.0,Y,2.0,4.0,3.0,1.0,2.0,71
5010,45.0,Research and Development,4,2.0,1.0,Male,3,1,2,L,N,L,Research and Design Specialists,2654.0,3.0,No,21.0,4.0,L,8.0,N,2.0,2.0,2.0,0.0,2.0,48
5133,36.0,Production,14,4.0,2.0,Female,3,2,4,H,N,H,Machinists,5674.0,7.0,No,15.0,3.0,H,11.0,Y,3.0,9.0,8.0,0.0,8.0,64
5139,51.0,Research and Development,15,4.0,1.0,Male,3,1,1,H,N,L,Research and Design Specialists,2461.0,7.0,Yes,12.0,3.0,L,18.0,N,4.0,10.0,0.0,2.0,7.0,37
5232,36.0,Production,17,4.0,1.0,Male,4,1,1,L,Y,H,Machinists,2810.0,7.0,No,22.0,2.0,L,5.0,Y,3.0,5.0,4.0,0.0,2.0,58
5238,39.0,IT Support,13,4.0,2.0,Male,3,2,4,L,N,L,IT specialists,5717.0,7.0,Yes,15.0,4.0,H,5.0,N,2.0,2.0,3.0,1.0,4.0,27
5254,26.0,Research and Development,15,3.0,1.0,Female,3,1,2,H,N,H,Research and Design Specialists,2886.0,1.0,No,22.0,2.0,L,3.0,Y,1.0,3.0,2.0,0.0,2.0,54
5294,29.0,Sales,24,3.0,2.0,Female,1,1,1,L,Y,L,Sales Representative,2760.0,5.0,No,13.0,3.0,L,2.0,N,3.0,2.0,2.0,2.0,2.0,37
5296,33.0,Production,10,1.0,1.0,Male,1,1,2,L,N,L,Machinists,3408.0,7.0,No,13.0,1.0,L,8.0,N,3.0,4.0,3.0,1.0,3.0,30
5320,41.0,Human Resources,11,3.0,3.0,Male,1,2,2,L,Y,H,Human Resources,6430.0,7.0,No,19.0,2.0,L,10.0,N,3.0,3.0,2.0,1.0,2.0,43
5387,24.0,Production,2,2.0,4.0,Female,3,1,1,L,N,L,Machinists,2210.0,5.0,No,13.0,1.0,L,1.0,N,1.0,1.0,0.0,0.0,0.0,31
5453,49.0,Research and Development,14,2.0,1.0,Male,2,5,2,L,Y,H,Manager,18711.0,6.0,No,13.0,3.0,L,23.0,Y,4.0,1.0,0.0,0.0,0.0,66
5574,28.0,Production,8,3.0,1.0,Male,2,1,2,L,N,L,Machinists,2596.0,1.0,No,15.0,1.0,L,1.0,N,3.0,1.0,0.0,0.0,0.0,45
5576,52.0,Research and Development,16,2.0,4.0,Male,3,4,2,H,Y,H,Manager,17099.0,7.0,No,15.0,2.0,H,26.0,Y,2.0,9.0,8.0,7.0,8.0,77
5621,23.0,Production,2,2.0,4.0,Male,3,1,2,L,Y,L,Machinists,2647.0,9.0,No,13.0,3.0,L,5.0,Y,4.0,5.0,2.0,1.0,4.0,62
5649,53.0,Research and Development,13,3.0,4.0,Male,4,4,2,L,Y,H,Research Director,16598.0,3.0,No,12.0,2.0,H,35.0,Y,2.0,9.0,8.0,8.0,8.0,62
5677,20.0,Research and Development,12,3.0,4.0,Female,2,1,2,H,N,H,Research and Design Specialists,2836.0,6.0,No,13.0,4.0,L,1.0,Y,4.0,1.0,0.0,0.0,0.0,70
5794,27.0,Production,19,4.0,4.0,Female,3,1,2,L,N,L,Machinists,2341.0,1.0,No,13.0,4.0,L,1.0,N,3.0,1.0,0.0,0.0,0.0,48
5885,40.0,Research and Development,14,2.0,4.0,Male,3,2,4,H,Y,H,Customercare Representative,4069.0,7.0,Yes,18.0,3.0,H,8.0,Y,3.0,2.0,2.0,2.0,2.0,64
6150,52.0,IT Support,8,4.0,1.0,Female,4,2,1,H,Y,H,IT specialists,6407.0,9.0,Yes,15.0,3.0,L,7.0,Y,2.0,4.0,6.0,2.0,3.0,62
6158,41.0,IT Support,24,4.0,1.0,Male,2,5,4,H,Y,H,IT specialists,5514.0,2.0,Yes,17.0,1.0,H,10.0,Y,1.0,7.0,7.0,2.0,5.0,52
6239,46.0,Sales,23,4.0,4.0,Male,4,4,2,L,Y,H,Manager,17567.0,3.0,No,15.0,2.0,H,27.0,Y,1.0,26.0,0.0,0.0,12.0,70
6358,37.0,Finance,4,3.0,1.0,Female,3,3,2,L,Y,H,Accountant,9202.0,9.0,No,20.0,1.0,L,10.0,Y,1.0,4.0,7.0,3.0,2.0,63
6366,43.0,Research and Development,6,3.0,2.0,Female,4,1,2,H,N,H,Research and Design Specialists,4739.0,4.0,No,12.0,4.0,L,18.0,Y,3.0,3.0,2.0,1.0,2.0,53
6452,27.0,Research and Development,19,3.0,4.0,Male,3,1,4,H,Y,H,Research and Design Specialists,1706.0,2.0,No,11.0,3.0,H,0.0,Y,2.0,0.0,0.0,0.0,0.0,79
6474,26.0,Research and Development,14,2.0,3.0,Male,3,1,2,L,Y,H,Research and Design Specialists,2875.0,1.0,Yes,20.0,2.0,L,8.0,Y,2.0,8.0,5.0,2.0,2.0,61
6572,27.0,Research and Development,8,4.0,4.0,Female,3,1,1,H,Y,L,Research and Design Specialists,2394.0,8.0,Yes,13.0,4.0,L,8.0,N,3.0,8.0,2.0,7.0,7.0,27
6596,24.0,Production,9,3.0,3.0,Male,2,1,2,H,Y,H,Machinists,2694.0,5.0,No,11.0,3.0,L,1.0,Y,3.0,1.0,0.0,0.0,0.0,54
6621,33.0,Finance,1,3.0,2.0,Male,2,2,2,L,Y,H,Accountant,9800.0,6.0,No,18.0,1.0,L,5.0,Y,3.0,10.0,7.0,3.0,7.0,64
6736,32.0,Research and Development,11,4.0,2.0,Male,3,1,3,L,N,H,Research and Design Specialists,2718.0,9.0,No,14.0,2.0,L,12.0,Y,3.0,7.0,7.0,0.0,7.0,76
6837,26.0,Research and Development,22,3.0,3.0,Female,3,2,2,H,N,H,Manufacturing Director,6397.0,1.0,No,20.0,1.0,H,6.0,Y,1.0,6.0,5.0,1.0,4.0,77
6878,39.0,Research and Development,11,1.0,1.0,Male,3,2,2,L,N,L,Research and Design Specialists,4108.0,1.0,No,13.0,1.0,L,18.0,Y,3.0,7.0,7.0,1.0,7.0,50
6891,34.0,Sales,20,3.0,1.0,Male,3,3,2,L,Y,H,Sales Executive,9888.0,2.0,No,21.0,1.0,L,14.0,Y,2.0,14.0,8.0,2.0,1.0,57
6907,36.0,Research and Development,5,5.0,4.0,Female,2,3,1,L,Y,H,Manufacturing Director,8858.0,5.0,No,11.0,2.0,L,15.0,Y,2.0,14.0,8.0,7.0,8.0,51
6971,55.0,Finance,3,3.0,1.0,Female,3,2,1,L,Y,H,Accountant,9750.0,5.0,No,15.0,4.0,L,5.0,N,2.0,6.0,7.0,1.0,6.0,83
6980,46.0,Finance,8,3.0,1.0,Male,3,3,2,L,Y,H,Accountant,8608.0,4.0,No,16.0,2.0,H,10.0,Y,2.0,7.0,3.0,2.0,6.0,53
7003,36.0,Sales,24,4.0,3.0,Female,2,2,1,H,N,H,Sales Executive,5647.0,7.0,No,13.0,1.0,H,11.0,Y,2.0,3.0,2.0,0.0,2.0,58
7007,31.0,Research and Development,19,1.0,3.0,Female,3,1,1,L,Y,L,Research and Design Specialists,3929.0,8.0,Yes,23.0,3.0,L,7.0,N,3.0,4.0,2.0,0.0,2.0,38
7097,36.0,Sales,23,4.0,3.0,Female,3,2,4,L,N,H,Customercare Representative,4502.0,5.0,No,15.0,3.0,L,17.0,Y,2.0,13.0,7.0,6.0,7.0,64
7180,42.0,Human Resources,6,3.0,3.0,Female,3,4,1,H,N,H,Manager,16799.0,9.0,No,14.0,3.0,H,21.0,Y,3.0,20.0,7.0,0.0,9.0,58
7195,40.0,Sales,16,2.0,4.0,Female,3,2,2,L,N,L,Sales Executive,4639.0,4.0,No,15.0,3.0,L,5.0,N,3.0,5.0,4.0,1.0,2.0,33
7286,49.0,Research and Development,3,2.0,3.0,Female,2,4,1,H,N,H,Customercare Representative,13964.0,7.0,Yes,12.0,4.0,L,25.0,Y,3.0,7.0,1.0,0.0,7.0,51
7361,41.0,Research and Development,21,3.0,2.0,Male,4,2,1,L,Y,H,Customercare Representative,6870.0,1.0,No,12.0,1.0,H,11.0,Y,1.0,3.0,2.0,1.0,2.0,56
7389,36.0,Research and Development,21,3.0,4.0,Female,3,1,2,L,N,L,Research and Design Specialists,2543.0,4.0,No,13.0,2.0,L,6.0,N,3.0,2.0,2.0,2.0,2.0,49
7451,54.0,Research and Development,7,4.0,4.0,Female,3,2,1,L,N,L,Research and Design Specialists,4869.0,3.0,No,12.0,4.0,L,20.0,N,2.0,4.0,3.0,0.0,3.0,39
7474,45.0,Production,14,5.0,3.0,Female,1,2,1,L,N,L,Machinists,5769.0,1.0,Yes,14.0,1.0,L,10.0,N,3.0,10.0,7.0,1.0,4.0,40
7488,44.0,Finance,10,4.0,2.0,Male,2,3,1,L,Y,H,Accountant,8249.0,8.0,Yes,15.0,3.0,H,9.0,Y,2.0,4.0,3.0,3.0,6.0,57
7551,34.0,Human Resources,9,3.0,3.0,Male,2,2,2,H,N,H,Human Resources,4490.0,7.0,No,11.0,4.0,L,14.0,Y,4.0,10.0,9.0,1.0,8.0,59
7561,29.0,Production,13,3.0,1.0,Male,2,3,4,L,N,L,Production Supervisors,5929.0,8.0,No,15.0,1.0,H,6.0,Y,1.0,4.0,7.0,1.0,3.0,30
7689,35.0,Research and Development,1,4.0,4.0,Female,4,1,3,H,Y,H,Research and Design Specialists,2506.0,1.0,No,13.0,3.0,H,7.0,Y,3.0,2.0,2.0,2.0,2.0,83
7722,29.0,Research and Development,23,1.0,4.0,Male,3,2,3,H,Y,H,Manufacturing Director,4319.0,1.0,No,13.0,1.0,H,10.0,Y,3.0,10.0,7.0,0.0,9.0,76
7725,45.0,Production,3,2.0,4.0,Male,3,2,2,H,N,L,Machinists,3633.0,5.0,Yes,15.0,3.0,L,9.0,N,3.0,9.0,8.0,0.0,8.0,46
7784,31.0,Sales,15,4.0,1.0,Male,4,2,3,H,N,H,Sales Executive,5460.0,4.0,No,22.0,4.0,H,13.0,Y,4.0,7.0,7.0,5.0,7.0,71
7935,22.0,Research and Development,14,1.0,3.0,Male,3,1,2,L,N,L,Research and Design Specialists,2323.0,1.0,No,24.0,1.0,L,2.0,N,3.0,2.0,2.0,2.0,2.0,45
7952,34.0,Research and Development,18,4.0,4.0,Male,4,1,3,L,Y,H,Research and Design Specialists,2932.0,1.0,Yes,14.0,1.0,H,6.0,Y,3.0,5.0,0.0,1.0,2.0,84
7999,24.0,Sales,19,2.0,4.0,Female,3,1,1,L,N,H,Sales Representative,2033.0,9.0,No,13.0,3.0,H,1.0,Y,3.0,1.0,0.0,0.0,0.0,56
8019,37.0,Research and Development,13,2.0,2.0,Male,3,1,2,L,N,L,Research and Design Specialists,3022.0,4.0,No,21.0,1.0,L,8.0,Y,3.0,1.0,0.0,0.0,0.0,47
8023,53.0,IT Support,1,4.0,2.0,Male,3,3,1,L,Y,H,IT specialists,5782.0,7.0,No,17.0,3.0,H,5.0,Y,3.0,8.0,2.0,2.0,7.0,57
8082,27.0,Sales,21,1.0,3.0,Male,3,2,1,H,N,H,Sales Executive,6349.0,0.0,Yes,13.0,4.0,L,6.0,Y,3.0,5.0,4.0,1.0,4.0,58
8141,35.0,Finance,16,4.0,2.0,Male,2,3,2,L,Y,H,Accountant,9662.0,2.0,Yes,19.0,2.0,L,7.0,Y,1.0,9.0,6.0,3.0,5.0,73
8158,50.0,Production,17,1.0,4.0,Male,4,1,1,L,N,L,Machinists,3221.0,2.0,Yes,11.0,3.0,L,20.0,N,3.0,20.0,8.0,3.0,8.0,32
8180,30.0,Production,17,3.0,2.0,Female,3,1,1,L,N,L,Machinists,2422.0,2.0,No,17.0,1.0,L,4.0,N,3.0,3.0,2.0,1.0,2.0,31
8228,29.0,Finance,21,3.0,2.0,Male,3,3,2,H,N,H,Accountant,9218.0,8.0,Yes,18.0,1.0,H,8.0,N,3.0,4.0,6.0,1.0,4.0,35
8443,25.0,Production,14,1.0,4.0,Male,3,1,1,L,N,L,Machinists,3691.0,2.0,Yes,15.0,2.0,L,7.0,N,4.0,7.0,7.0,5.0,6.0,28
8566,21.0,Sales,10,3.0,3.0,Female,4,1,1,L,N,L,Sales Representative,2716.0,1.0,No,15.0,4.0,L,1.0,N,3.0,1.0,0.0,0.0,0.0,37
8648,35.0,IT Support,11,3.0,1.0,Female,3,3,3,H,Y,H,IT specialists,10818.0,9.0,Yes,16.0,2.0,H,8.0,Y,1.0,2.0,6.0,2.0,6.0,78
8654,34.0,Production,12,3.0,4.0,Female,2,1,4,H,Y,H,Machinists,3294.0,8.0,No,17.0,1.0,H,7.0,Y,2.0,5.0,4.0,0.0,2.0,82
